MDDCollId,SetTypeId,MDDCollName
1189,491,conus_hydro_segments_test_exsitu_reg2
1190,491,conus_hydro_segments_test_exsitu_reg2_2025_12_19_07_48_30_7967
1191,491,conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_13_39_2851
1192,491,conus_hydro_segments_test_exsitu_reg2_2025_12_19_10_55_45_9967
1200,498,conus_hydro_segments_jp_test_insitu
1210,508,conus_hydro_segments_doy_climatology_dynamic_historical
1211,509,conus_hydro_segments_doy_climatology_dynamic_projected
1212,510,conus_hydro_segments_doy_climatology_static_historical
1213,511,conus_hydro_segments_doy_climatology_static_projected
1217,515,conus_hydro_segments_doy_climatology
1219,517,conus_hydro_segments_stats
1221,519,tas_2km_historical_wcs
1222,520,tas_2km_projected_wcs
1223,521,cmip6_monthly_cf_wcs
1235,532,ak_hydro_segments_doy_climatology
1236,533,ak_hydro_segments_stats
1247,544,cp_test_gipl_wcs
1259,556,cmip6_bui
1263,559,cmip6_ffmc
1277,568,cp_gipl_wms
1278,167,cmip6_downscaled_pr_7ModelAvg_historical_wcs_v2
1279,167,cmip6_downscaled_pr_7ModelAvg_ssp126_wcs_v2
1280,167,cmip6_downscaled_pr_7ModelAvg_ssp245_wcs_v2
1281,167,cmip6_downscaled_pr_7ModelAvg_ssp370_wcs_v2
1282,167,cmip6_downscaled_pr_7ModelAvg_ssp585_wcs_v2
1283,167,cmip6_downscaled_pr_CESM2_historical_wcs_v2
1284,167,cmip6_downscaled_pr_CESM2_ssp126_wcs_v2
1285,167,cmip6_downscaled_pr_CESM2_ssp245_wcs_v2
1286,167,cmip6_downscaled_pr_CESM2_ssp370_wcs_v2
1287,167,cmip6_downscaled_pr_CESM2_ssp585_wcs_v2
1288,167,cmip6_downscaled_pr_CNRM_CM6_1_HR_historical_wcs_v2
1289,167,cmip6_downscaled_pr_CNRM_CM6_1_HR_ssp585_wcs_v2
1290,167,cmip6_downscaled_pr_E3SM_2_0_historical_wcs_v2
1291,167,cmip6_downscaled_pr_E3SM_2_0_ssp370_wcs_v2
1292,167,cmip6_downscaled_pr_EC_Earth3_Veg_historical_wcs_v2
1293,167,cmip6_downscaled_pr_EC_Earth3_Veg_ssp126_wcs_v2
1294,167,cmip6_downscaled_pr_EC_Earth3_Veg_ssp370_wcs_v2
1295,167,cmip6_downscaled_pr_EC_Earth3_Veg_ssp585_wcs_v2
1296,167,cmip6_downscaled_pr_GFDL_ESM4_historical_wcs_v2
1297,167,cmip6_downscaled_pr_GFDL_ESM4_ssp126_wcs_v2
1298,167,cmip6_downscaled_pr_GFDL_ESM4_ssp245_wcs_v2
1299,167,cmip6_downscaled_pr_GFDL_ESM4_ssp370_wcs_v2
1300,167,cmip6_downscaled_pr_GFDL_ESM4_ssp585_wcs_v2
1301,167,cmip6_downscaled_pr_HadGEM3_GC31_LL_historical_wcs_v2
1302,167,cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp126_wcs_v2
1303,167,cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp245_wcs_v2
1304,167,cmip6_downscaled_pr_HadGEM3_GC31_LL_ssp585_wcs_v2
1305,167,cmip6_downscaled_pr_HadGEM3_GC31_MM_historical_wcs_v2
1306,167,cmip6_downscaled_pr_HadGEM3_GC31_MM_ssp126_wcs_v2
1307,167,cmip6_downscaled_pr_HadGEM3_GC31_MM_ssp585_wcs_v2
1308,167,cmip6_downscaled_pr_KACE_1_0_G_historical_wcs_v2
1309,167,cmip6_downscaled_pr_KACE_1_0_G_ssp126_wcs_v2
1311,167,cmip6_downscaled_pr_KACE_1_0_G_ssp245_wcs_v2
1312,167,cmip6_downscaled_pr_KACE_1_0_G_ssp370_wcs_v2
1313,167,cmip6_downscaled_pr_KACE_1_0_G_ssp585_wcs_v2
1314,167,cmip6_downscaled_pr_MIROC6_historical_wcs_v2
1316,167,cmip6_downscaled_pr_MIROC6_ssp126_wcs_v2
1318,167,cmip6_downscaled_pr_MIROC6_ssp370_wcs_v2
1319,167,cmip6_downscaled_pr_MIROC6_ssp585_wcs_v2
1320,167,cmip6_downscaled_pr_MPI_ESM1_2_HR_historical_wcs_v2
1321,167,cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp126_wcs_v2
1322,167,cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp245_wcs_v2
1323,167,cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp370_wcs_v2
1324,167,cmip6_downscaled_pr_MPI_ESM1_2_HR_ssp585_wcs_v2
1325,167,cmip6_downscaled_tasmax_HadGEM3_GC31_LL_ssp585_wcs_v2
1326,167,cmip6_downscaled_tasmax_HadGEM3_GC31_MM_historical_wcs_v2
1327,167,cmip6_downscaled_tasmax_HadGEM3_GC31_MM_ssp126_wcs_v2
1328,167,cmip6_downscaled_tasmax_HadGEM3_GC31_MM_ssp585_wcs_v2
1330,167,cmip6_downscaled_tasmax_KACE_1_0_G_historical_wcs_v2
1332,167,cmip6_downscaled_tasmax_KACE_1_0_G_ssp126_wcs_v2
1333,167,cmip6_downscaled_tasmax_KACE_1_0_G_ssp245_wcs_v2
1334,167,cmip6_downscaled_tasmax_KACE_1_0_G_ssp370_wcs_v2
1335,167,cmip6_downscaled_tasmax_KACE_1_0_G_ssp585_wcs_v2
1336,167,cmip6_downscaled_tasmax_MIROC6_historical_wcs_v2
1337,167,cmip6_downscaled_tasmax_MIROC6_ssp126_wcs_v2
1338,167,cmip6_downscaled_tasmax_MIROC6_ssp245_wcs_v2
1339,167,cmip6_downscaled_tasmax_MIROC6_ssp370_wcs_v2
1340,167,cmip6_downscaled_tasmax_MIROC6_ssp585_wcs_v2
1341,167,cmip6_downscaled_tasmax_MPI_ESM1_2_HR_historical_wcs_v2
1342,167,cmip6_downscaled_tasmax_MPI_ESM1_2_HR_ssp126_wcs_v2
1343,167,cmip6_downscaled_tasmax_MPI_ESM1_2_HR_ssp245_wcs_v2
1344,167,cmip6_downscaled_tasmax_MPI_ESM1_2_HR_ssp370_wcs_v2
1345,167,cmip6_downscaled_tasmax_MPI_ESM1_2_HR_ssp585_wcs_v2
1346,167,cmip6_downscaled_tasmax_MRI_ESM2_0_historical_wcs_v2
1347,167,cmip6_downscaled_tasmax_MRI_ESM2_0_ssp126_wcs_v2
1348,167,cmip6_downscaled_tasmax_MRI_ESM2_0_ssp245_wcs_v2
1349,167,cmip6_downscaled_tasmax_MRI_ESM2_0_ssp370_wcs_v2
1350,167,cmip6_downscaled_tasmax_MRI_ESM2_0_ssp585_wcs_v2
1351,167,cmip6_downscaled_tasmax_NorESM2_MM_historical_wcs_v2
1352,167,cmip6_downscaled_tasmax_NorESM2_MM_ssp126_wcs_v2
1353,167,cmip6_downscaled_tasmax_NorESM2_MM_ssp245_wcs_v2
1354,167,cmip6_downscaled_tasmax_NorESM2_MM_ssp370_wcs_v2
1355,167,cmip6_downscaled_tasmax_NorESM2_MM_ssp585_wcs_v2
1356,167,cmip6_downscaled_tasmax_TaiESM1_historical_wcs_v2
1357,167,cmip6_downscaled_tasmax_TaiESM1_ssp126_wcs_v2
1358,167,cmip6_downscaled_tasmax_TaiESM1_ssp245_wcs_v2
1359,167,cmip6_downscaled_tasmax_TaiESM1_ssp370_wcs_v2
1360,167,cmip6_downscaled_tasmax_TaiESM1_ssp585_wcs_v2
1361,167,cmip6_downscaled_tasmin_7ModelAvg_historical_wcs_v2
1362,167,cmip6_downscaled_tasmin_7ModelAvg_ssp126_wcs_v2
1363,167,cmip6_downscaled_tasmin_7ModelAvg_ssp245_wcs_v2
1364,167,cmip6_downscaled_tasmin_7ModelAvg_ssp370_wcs_v2
1365,167,cmip6_downscaled_tasmin_7ModelAvg_ssp585_wcs_v2
1366,167,cmip6_downscaled_tasmin_CNRM_CM6_1_HR_historical_wcs_v2
1367,167,cmip6_downscaled_tasmin_CNRM_CM6_1_HR_ssp126_wcs_v2
1368,167,cmip6_downscaled_tasmin_CNRM_CM6_1_HR_ssp585_wcs_v2
1369,167,cmip6_downscaled_tasmin_E3SM_2_0_historical_wcs_v2
1370,167,cmip6_downscaled_tasmin_E3SM_2_0_ssp370_wcs_v2
1371,167,cmip6_downscaled_tasmin_EC_Earth3_Veg_historical_wcs_v2
1372,167,cmip6_downscaled_tasmin_EC_Earth3_Veg_ssp370_wcs_v2
1373,167,cmip6_downscaled_tasmin_EC_Earth3_Veg_ssp585_wcs_v2
1374,167,cmip6_downscaled_tasmin_GFDL_ESM4_historical_wcs_v2
1375,167,cmip6_downscaled_tasmin_GFDL_ESM4_ssp126_wcs_v2
1376,167,cmip6_downscaled_tasmin_GFDL_ESM4_ssp245_wcs_v2
1377,167,cmip6_downscaled_tasmin_GFDL_ESM4_ssp370_wcs_v2
1378,167,cmip6_downscaled_tasmin_GFDL_ESM4_ssp585_wcs_v2
1379,167,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_historical_wcs_v2
1380,167,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp126_wcs_v2
1381,167,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp245_wcs_v2
1382,167,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp585_wcs_v2
1383,167,cmip6_downscaled_tasmin_HadGEM3_GC31_MM_historical_wcs_v2
1384,167,cmip6_downscaled_tasmin_HadGEM3_GC31_MM_ssp126_wcs_v2
1385,167,cmip6_downscaled_tasmin_HadGEM3_GC31_MM_ssp585_wcs_v2
1386,167,cmip6_downscaled_tasmin_KACE_1_0_G_historical_wcs_v2
1387,167,cmip6_downscaled_tasmin_KACE_1_0_G_ssp126_wcs_v2
1388,167,cmip6_downscaled_tasmin_KACE_1_0_G_ssp245_wcs_v2
1389,167,cmip6_downscaled_tasmin_KACE_1_0_G_ssp370_wcs_v2
1390,167,cmip6_downscaled_tasmin_KACE_1_0_G_ssp585_wcs_v2
1391,167,cmip6_downscaled_tasmin_MIROC6_historical_wcs_v2
1392,167,cmip6_downscaled_tasmin_MIROC6_ssp126_wcs_v2
1393,167,cmip6_downscaled_tasmin_MIROC6_ssp245_wcs_v2
1394,167,cmip6_downscaled_tasmin_MIROC6_ssp370_wcs_v2
1395,167,cmip6_downscaled_tasmin_MIROC6_ssp585_wcs_v2
1396,167,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_historical_wcs_v2
1397,167,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp126_wcs_v2
1398,167,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp245_wcs_v2
1399,167,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp370_wcs_v2
1400,167,cmip6_downscaled_tasmin_MPI_ESM1_2_HR_ssp585_wcs_v2
1401,167,cmip6_downscaled_tasmin_MRI_ESM2_0_historical_wcs_v2
1402,167,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp126_wcs_v2
1403,167,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp245_wcs_v2
1404,167,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp370_wcs_v2
1405,167,cmip6_downscaled_tasmin_MRI_ESM2_0_ssp585_wcs_v2
1406,167,cmip6_downscaled_tasmin_NorESM2_MM_historical_wcs_v2
1407,167,cmip6_downscaled_tasmin_NorESM2_MM_ssp126_wcs_v2
1408,167,cmip6_downscaled_tasmin_NorESM2_MM_ssp245_wcs_v2
1409,167,cmip6_downscaled_tasmin_NorESM2_MM_ssp370_wcs_v2
1410,167,cmip6_downscaled_tasmin_NorESM2_MM_ssp585_wcs_v2
1411,167,cmip6_downscaled_tasmin_TaiESM1_historical_wcs_v2
1412,167,cmip6_downscaled_tasmin_TaiESM1_ssp126_wcs_v2
1413,167,cmip6_downscaled_tasmin_TaiESM1_ssp245_wcs_v2
1414,167,cmip6_downscaled_tasmin_TaiESM1_ssp370_wcs_v2
1415,167,cmip6_downscaled_tasmin_TaiESM1_ssp585_wcs_v2
1416,167,cmip6_downscaled_pr_MIROC6_ssp245_wcs_v2
1417,167,cmip6_downscaled_pr_CNRM_CM6_1_HR_ssp126_wcs_v2
1418,167,cmip6_downscaled_pr_MRI_ESM2_0_historical_wcs_v2
1419,167,cmip6_downscaled_pr_MRI_ESM2_0_ssp126_wcs_v2
1420,167,cmip6_downscaled_pr_MRI_ESM2_0_ssp245_wcs_v2
1421,167,cmip6_downscaled_pr_MRI_ESM2_0_ssp370_wcs_v2
1422,167,cmip6_downscaled_pr_MRI_ESM2_0_ssp585_wcs_v2
1423,167,cmip6_downscaled_pr_NorESM2_MM_historical_wcs_v2
1424,167,cmip6_downscaled_pr_NorESM2_MM_ssp126_wcs_v2
1425,167,cmip6_downscaled_pr_NorESM2_MM_ssp245_wcs_v2
1426,167,cmip6_downscaled_pr_NorESM2_MM_ssp370_wcs_v2
1427,167,cmip6_downscaled_pr_NorESM2_MM_ssp585_wcs_v2
1428,167,cmip6_downscaled_pr_TaiESM1_historical_wcs_v2
1429,167,cmip6_downscaled_pr_TaiESM1_ssp126_wcs_v2
1430,167,cmip6_downscaled_pr_TaiESM1_ssp245_wcs_v2
1431,167,cmip6_downscaled_pr_TaiESM1_ssp370_wcs_v2
1432,167,cmip6_downscaled_pr_TaiESM1_ssp585_wcs_v2
1439,579,cp_test_gipl
1440,580,crrel_gipl_outputs_nc
1441,581,era5_4km_elevation
1442,167,cmip6_downscaled_tasmax_7ModelAvg_historical_wcs_v2
1443,167,cmip6_downscaled_tasmax_7ModelAvg_ssp126_wcs_v2
1444,167,cmip6_downscaled_tasmax_7ModelAvg_ssp245_wcs_v2
1445,167,cmip6_downscaled_tasmax_7ModelAvg_ssp370_wcs_v2
1446,167,cmip6_downscaled_tasmax_7ModelAvg_ssp585_wcs_v2
1447,167,cmip6_downscaled_tasmax_CNRM_CM6_1_HR_historical_wcs_v2
1448,167,cmip6_downscaled_tasmax_CNRM_CM6_1_HR_ssp126_wcs_v2
1449,167,cmip6_downscaled_tasmax_CNRM_CM6_1_HR_ssp585_wcs_v2
1450,167,cmip6_downscaled_tasmax_E3SM_2_0_historical_wcs_v2
1451,167,cmip6_downscaled_tasmax_E3SM_2_0_ssp370_wcs_v2
1452,167,cmip6_downscaled_tasmax_EC_Earth3_Veg_historical_wcs_v2
1453,167,cmip6_downscaled_tasmax_EC_Earth3_Veg_ssp370_wcs_v2
1454,167,cmip6_downscaled_tasmax_EC_Earth3_Veg_ssp585_wcs_v2
1455,167,cmip6_downscaled_tasmax_GFDL_ESM4_historical_wcs_v2
1456,167,cmip6_downscaled_tasmax_GFDL_ESM4_ssp126_wcs_v2
1457,167,cmip6_downscaled_tasmax_GFDL_ESM4_ssp245_wcs_v2
1458,167,cmip6_downscaled_tasmax_GFDL_ESM4_ssp370_wcs_v2
1459,167,cmip6_downscaled_tasmax_GFDL_ESM4_ssp585_wcs_v2
1460,167,cmip6_downscaled_tasmax_HadGEM3_GC31_LL_historical_wcs_v2
1461,167,cmip6_downscaled_tasmax_HadGEM3_GC31_LL_ssp126_wcs_v2
1462,167,cmip6_downscaled_tasmax_HadGEM3_GC31_LL_ssp245_wcs_v2
1463,59,cmip6_downscaled_pr_wms_v2
1464,59,cmip6_downscaled_tasmax_wms_v2
1465,59,cmip6_downscaled_tasmin_wms_v2
1466,59,cmip6_downscaled_pr_wms_v2_2026_03_19_12_29_34_4856
1467,59,cmip6_downscaled_tasmax_wms_v2_2026_03_19_12_52_15_9385
1468,59,cmip6_downscaled_tasmin_wms_v2_2026_03_19_12_52_32_4842
1469,59,cmip6_downscaled_tasmax_v2_wms_test
1472,583,conus_hydro_segments_stats_diff
1477,588,cmip6_fwi_2026_05_01_09_29_49_8758
1478,559,cmip6_ffmc_2026_05_01_10_06_40_3566
1479,589,cmip6_isi
1480,556,cmip6_bui_2026_05_01_10_44_58_2744
1481,590,cmip6_dc
1482,591,cmip6_dmc
1486,595,ak_hydro_segments_stats_combined
1496,603,drought_indicators_30day
1504,611,conus_hydro_segments_stats_combined
1517,624,ak_hydro_segments_doy_wt_climatology
1522,629,ak_hydro_segments_doy_climatology_no_spinup
1523,630,ak_hydro_segments_mhit_stats_combined_blaskey
1524,631,ak_hydro_segments_wt_stats_blaskey
1529,636,ak_hydro_segments_mhit_stats_combined
1530,637,ak_hydro_segments_doy_climatology_2026_07_08_16_07_13_5583
1531,638,ak_hydro_segments_wt_stats
1537,644,piak_collab
1541,648,crrel_gipl_outputs_nc_regular_1_test
1542,649,crrel_gipl_outputs_nc_regular_2_test
