coverage_id,name_suffix,is_test_named,status,grid_axes,grid_extents,band_count,bytes_per_cell,tiling_source,tiling_scheme,declared_tiling,tile_configuration,tile_extents,cells_per_tile,declared_tile_size_bytes,computed_bytes_per_tile,actual_avg_bytes_per_tile,tile_no,total_size_bytes,real_data_bytes,storage_overhead_factor,per_axis_divisibility,blocks_per_axis,axes_with_padding,point_query_tiles,point_query_bytes_read,point_query_amplification,map_query_tiles,map_query_bytes_read,map_query_amplification,suspected_axis_mismatch,mismatch_confidence,mismatch_evidence,suggested_reorder,declared_vs_actual,tiles_sampled,distinct_tile_shapes,partition_homogeneous,modal_tile_shape,observed_block_starts,axes_split_into_blocks,collection_used,collection_resolution,other_collections_found,wcps_domain,wcps_cell_type,wcps_null_values,wcps_vs_describe,dbinfo_array_matches,sdom,base_type,recipe_path,raw_file,note
ak_hydro_segments_wt_stats_blaskey,none,no,ok,source era model stream_id,"7,3,7,34208",44,176,dbinfo (measured),regular,,"[0:6,0:2,0:0,0:1]","7,3,1,2",42,1048576,7392,7392.0,119728,885029376,885029376,1.0,"ok,ok,ok,ok","1,1,7,17104",0,,,,,,,no,,,,,,,,,,,ak_hydro_segments_wt_stats_blaskey,petascopedb pointer,,"[0:6,0:2,0:6,0:34207]","wt_days_gt13_mean float, wt_days_gt18_mean float, wt_days_gt20_mean float, wt_mean_jan float, wt_mean_feb float, wt_mean_mar float, wt_mean_apr float, wt_mean_may float, wt_mean_jun float, wt_mean_jul float, wt_mean_aug float, wt_mean_sep float, wt_mean_oct float, wt_mean_nov float, wt_mean_dec float, wt_min_jan float, wt_min_feb float, wt_min_mar float, wt_min_apr float, wt_min_may float, wt_min_jun float, wt_min_jul float, wt_min_aug float, wt_min_sep float, wt_min_oct float, wt_min_nov float, wt_min_dec float, wt_max_jan float, wt_max_feb float, wt_max_mar float, wt_max_apr float, wt_max_may float, wt_max_jun float, wt_max_jul float, wt_max_aug float, wt_max_sep float, wt_max_oct float, wt_max_nov float, wt_max_dec float, wt_ann_max_temp_mean float, wt_ann_max_temp_doy_mean float, wt_7d_max_temp_mean float, wt_7d_max_temp_doy_mean float, wt_cdd_may_sept_mean float",,DIFFERS,yes,"[0:6,0:2,0:6,0:34207]","marray <struct { float wt_days_gt13_mean, float wt_days_gt18_mean, float wt_days_gt20_mean, float wt_mean_jan, float wt_mean_feb, float wt_mean_mar, float wt_mean_apr, float wt_mean_may, float wt_mean_jun, float wt_mean_jul, float wt_mean_aug, float wt_mean_sep, float wt_mean_oct, float wt_mean_nov, float wt_mean_dec, float wt_min_jan, float wt_min_feb, float wt_min_mar, float wt_min_apr, float wt_min_may, float wt_min_jun, float wt_min_jul, float wt_min_aug, float wt_min_sep, float wt_min_oct, float wt_min_nov, float wt_min_dec, float wt_max_jan, float wt_max_feb, float wt_max_mar, float wt_max_apr, float wt_max_may, float wt_max_jun, float wt_max_jul, float wt_max_aug, float wt_max_sep, float wt_max_oct, float wt_max_nov, float wt_max_dec, float wt_ann_max_temp_mean, float wt_ann_max_temp_doy_mean, float wt_7d_max_temp_mean, float wt_7d_max_temp_doy_mean, float wt_cdd_may_sept_mean },[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",,,sdom disagrees with DescribeCoverage extent
alfresco_relative_flammability_30yr,none,no,ok,era model scenario X Y,"5,7,4,3650,2100",1,4,dbinfo (measured),aligned,,"[0:0,0:0,0:0,0:65535,0:16]","1,1,1,65536,17",1114112,4456448,4456448,245130.85383381008,14333,3513460528,4292400000,0.8185,"ok,ok,ok,PAD,PAD","5,7,4,1,124",2,140,623902720,1114112.0,124,552599552,18.0,n/a (default tiling),,,,,,,,,,,alfresco_relative_flammability_30yr,petascopedb pointer,,"[0:4,0:6,0:3,0:3649,0:2099]",float,-9999.000000,match,yes,"[0:4,0:6,0:3,0:3649,0:2099]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",iem/alfresco/relative_flammability/ingest.json,,
alfresco_vegetation_mode_statistic,none,no,ok,era model scenario X Y,"4,6,4,3650,2100",1,4,dbinfo (measured),aligned,,"[0:0,0:0,0:0,0:65535,0:16]","1,1,1,65536,17",1114112,4456448,4456448,244578.82312982934,11777,2880404800,2943360000,0.9786,"ok,ok,ok,PAD,PAD","4,6,4,1,124",2,96,427819008,1114112.0,124,552599552,18.0,n/a (default tiling),,,,,,,,,,,alfresco_vegetation_mode_statistic,petascopedb pointer,,"[0:3,0:5,0:3,0:3649,0:2099]",float,-9999.000000,match,yes,"[0:3,0:5,0:3,0:3649,0:2099]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",iem/alfresco/mode_vegetation_type/ingest.json,,
alfresco_vegetation_type_percentage,none,no,ok,era model scenario veg_type X Y,"4,6,4,9,3650,2100",1,4,dbinfo (measured),aligned,,"[0:0,0:0,0:0,0:0,0:65535,0:16]","1,1,1,1,65536,17",1114112,4456448,4456448,247120.13095117657,98846,24426836464,26490240000,0.9221,"ok,ok,ok,ok,PAD,PAD","4,6,4,9,1,124",2,864,3850371072,1114112.0,124,552599552,18.0,n/a (default tiling),,,,,,,,,,,alfresco_vegetation_type_percentage,petascopedb pointer,,"[0:3,0:5,0:3,0:8,0:3649,0:2099]",float,-9999.000000,match,yes,"[0:3,0:5,0:3,0:8,0:3649,0:2099]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*),D5(*:*)]>",iem/alfresco/vegetation_type_pct/ingest.json,,
annual_mean_temp,none,no,ok,model scenario year X Y,"7,200,4,1849,999",1,4,dbinfo (measured),aligned,,"[0:0,0:0,0:0,0:44099,0:23]","1,1,1,44100,24",1058400,4233600,4233600,175855.16041772798,78520,13808147196,41376182400,0.3337,"ok,ok,ok,PAD,PAD","7,200,4,1,42",2,5600,23708160000,1058400.0,42,177811200,24.1,n/a (default tiling),,,,,,,,,,,annual_mean_temp,petascopedb pointer,,"[0:6,0:199,0:3,0:1848,0:998]",float,-9999.000000,match,yes,"[0:6,0:199,0:3,0:1848,0:998]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",arctic_eds/annual_mean_tas/hook_ingest.json,,sdom disagrees with DescribeCoverage extent
annual_precip_totals_mm,none,no,ok,model scenario year X Y,"7,200,4,1880,1079",1,4,dbinfo (measured),aligned,,"[0:0,0:0,0:0,0:44399,0:23]","1,1,1,44400,24",1065600,4262400,4262400,180215.62674857434,83997,15137572000,45438848000,0.3331,"ok,ok,ok,PAD,PAD","7,200,4,1,45",2,5600,23869440000,1065600.0,45,191808000,23.6,n/a (default tiling),,,,,,,,,,,annual_precip_totals_mm,petascopedb pointer,,"[0:6,0:199,0:3,0:1879,0:1078]",float,-9999.000000,match,yes,"[0:6,0:199,0:3,0:1879,0:1078]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",arctic_eds/annual_mean_pr/hook_ingest.json,,sdom disagrees with DescribeCoverage extent
ardac_beaufort_daily_slie,none,no,ok,ansi X Y,"7797,3300,9556",1,2,dbinfo (measured),aligned,"ALIGNED [0:*, 0:*, 0:*] tile size 4194304","[0:*,0:*,0:*]","7797,9556,3300",245876835600,4194304,491753671200,3941802.4352286756,124762,491787155424,491753671200,1.0001,"ok,PAD,PAD","1,1,3",2,1,491753671200,31534800.0,3,1475261013600,23391.0,no,,,,n/a (wildcards derived),,,,,,,ardac_beaufort_daily_slie,petascopedb pointer,,"[0:7796,0:3299,0:9555]",short,111.000000,match,yes,"[0:7796,0:3299,0:9555]","marray <short,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/landfast_sea_ice_beaufort_daily/ingest.json,,sdom disagrees with DescribeCoverage extent
ardac_beaufort_daily_slie_wcs,wcs,no,ok,ansi X Y,"7797,3300,9556",1,2,dbinfo (measured),aligned,"ALIGNED [0:8091, 0:31, 0:31] tile size 16777216","[0:8091,0:31,0:31]","8092,32,32",8286208,16777216,16572416,574685.5192170003,1663449,955960052256,491753671200,1.944,"PAD,PAD,PAD","1,104,299",3,1,16572416,1062.7,31096,515335847936,8170.9,yes,medium,chunk 8092 exceeds 'ansi' (extent 7797),,match,,,,,,,ardac_beaufort_daily_slie_wcs,petascopedb pointer,,"[0:7796,0:3299,0:9555]",short,111.000000,match,yes,"[0:7796,0:3299,0:9555]","marray <short,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/landfast_sea_ice_beaufort_daily/ingest_wcs_only.json,,sdom disagrees with DescribeCoverage extent
ardac_beaufort_landfast_sea_ice_mmm,none,no,ok,month era X Y,"10,3,9556,3300",1,1,dbinfo (measured),aligned,,"[0:0,0:0,0:3499,0:1199]","1,1,3500,1200",4200000,4200000,4200000,3452715.3284671535,274,946044000,946044000,1.0,"ok,ok,PAD,PAD","10,3,3,3",2,30,126000000,4200000.0,9,37800000,1.2,n/a (default tiling),,,,,,,,,,,ardac_beaufort_landfast_sea_ice_mmm,petascopedb pointer,,"[0:9,0:2,0:9555,0:3299]",char,,match,yes,"[0:9,0:2,0:9555,0:3299]","marray <char,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/beaufort_landfast_sea_ice_mmm/ingest.json,,
ardac_chukchi_daily_slie,none,no,ok,ansi X Y,"7668,6272,6235",1,2,dbinfo (measured),aligned,"ALIGNED [0:*, 0:*, 0:*] tile size 4194304","[0:*,0:*,0:*]","7668,6235,6272",299864194560,4194304,599728389120,4116357.133757962,145696,599736768960,599728389120,1.0,"ok,PAD,PAD","1,2,1",2,1,599728389120,39105920.0,2,1199456778240,15336.0,no,,,,n/a (wildcards derived),,,,,,,ardac_chukchi_daily_slie,petascopedb pointer,,"[0:7667,0:6271,0:6234]",short,111.000000,match,yes,"[0:7667,0:6271,0:6234]","marray <short,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/landfast_sea_ice_chukchi_daily/ingest.json,,sdom disagrees with DescribeCoverage extent
ardac_chukchi_daily_slie_wcs,wcs,no,ok,ansi X Y,"7668,6272,6235",1,2,dbinfo (measured),aligned,"ALIGNED [0:8091, 0:31, 0:31] tile size 16777216","[0:8091,0:31,0:31]","8092,32,32",8286208,16777216,16572416,567615.6845467536,2044043,1160230866688,599728389120,1.9346,"PAD,ok,PAD","1,196,195",2,1,16572416,1080.6,38220,633397739520,8098.5,yes,medium,chunk 8092 exceeds 'ansi' (extent 7668),,match,,,,,,,ardac_chukchi_daily_slie_wcs,petascopedb pointer,,"[0:7667,0:6271,0:6234]",short,111.000000,match,yes,"[0:7667,0:6271,0:6234]","marray <short,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/landfast_sea_ice_chukchi_daily/ingest_wcs_only.json,,sdom disagrees with DescribeCoverage extent
ardac_chukchi_landfast_sea_ice_mmm,none,no,ok,month era X Y,"10,3,6235,6272",1,1,dbinfo (measured),aligned,,"[0:0,0:0,0:2047,0:2099]","1,1,2048,2100",4300800,4300800,4300800,3248218.4155124654,361,1172606848,1173177600,0.9995,"ok,ok,PAD,PAD","10,3,4,3",2,30,129024000,4300800.0,12,51609600,1.3,n/a (default tiling),,,,,,,,,,,ardac_chukchi_landfast_sea_ice_mmm,petascopedb pointer,,"[0:9,0:2,0:6234,0:6271]",char,,match,yes,"[0:9,0:2,0:6234,0:6271]","marray <char,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/chukchi_landfast_sea_ice_mmm/ingest.json,,
beetle_risk,none,no,ok,era model scenario snowpack X Y,"4,5,3,2,274,163",1,1,dbinfo (measured),aligned,,"[0:0,0:0,0:0,0:0,0:6299,0:699]","1,1,1,1,6300,700",4410000,4410000,4410000,42944.230769230766,52,2233100,5359440,0.4167,"ok,ok,ok,ok,PAD,PAD","4,5,3,2,1,1",2,120,529200000,4410000.0,1,4410000,98.7,n/a (default tiling),,,,,,,,,,,beetle_risk,petascopedb pointer,,"[0:3,0:4,0:2,0:1,0:273,0:162]",char,0.000000,match,yes,"[0:3,0:4,0:2,0:1,0:273,0:162]","marray <char,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*),D5(*:*)]>",beetles/ingest.json,,
berkeley_earth_25,none,no,ok,time lat lon,"2096,308,464",1,4,dbinfo (measured),aligned,,"[0:1,0:599,0:911]","2,600,912",1094400,4377600,4377600,1140032.5480494767,1051,1198174208,1198174208,1.0,"ok,PAD,PAD","1048,1,1",2,1048,4587724800,547200.0,1,4377600,7.7,no,,,,,,,,,,,berkeley_earth_25,petascopedb pointer,,"[0:2095,0:307,0:463]",float,-9999.000000,match,yes,"[0:2095,0:307,0:463]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",,,
cmip6_bui,none,no,ok,model time lat lon,"5,25680,178,569",1,4,dbinfo (measured),aligned,"ALIGNED [0:4, 0:*, 0:1, 0:1] tile size 1643456","[0:4,0:*,0:1,0:1]","5,25680,2,2",513600,1643456,2054400,659398.7796223812,266724,175877480096,52018435200,3.3811,"ok,ok,ok,PAD","1,1,89,285",1,1,2054400,4.0,25365,52109856000,128625.7,no,,,,n/a (wildcards derived),,,,,,,cmip6_bui_2026_05_01_10_44_58_2744,petascopedb pointer,,"[0:4,0:25679,0:177,0:568]",float,nan:nan,match,yes,"[0:4,0:25679,0:177,0:568]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/cmip6_fwi/ingest_bui.json,,collection name differs from coverage id
cmip6_dc,none,no,ok,model time lat lon,"5,25680,178,569",1,4,dbinfo (measured),aligned,"ALIGNED [0:4, 0:*, 0:1, 0:1] tile size 1643456","[0:4,0:*,0:1,0:1]","5,25680,2,2",513600,1643456,2054400,659398.7796223812,266724,175877480096,52018435200,3.3811,"ok,ok,ok,PAD","1,1,89,285",1,1,2054400,4.0,25365,52109856000,128625.7,no,,,,n/a (wildcards derived),,,,,,,cmip6_dc,petascopedb pointer,,"[0:4,0:25679,0:177,0:568]",float,nan:nan,match,yes,"[0:4,0:25679,0:177,0:568]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/cmip6_fwi/ingest_dc.json,,
cmip6_dmc,none,no,ok,model time lat lon,"5,25680,178,569",1,4,dbinfo (measured),aligned,"ALIGNED [0:4, 0:*, 0:1, 0:1] tile size 1643456","[0:4,0:*,0:1,0:1]","5,25680,2,2",513600,1643456,2054400,659398.7796223812,266724,175877480096,52018435200,3.3811,"ok,ok,ok,PAD","1,1,89,285",1,1,2054400,4.0,25365,52109856000,128625.7,no,,,,n/a (wildcards derived),,,,,,,cmip6_dmc,petascopedb pointer,,"[0:4,0:25679,0:177,0:568]",float,nan:nan,match,yes,"[0:4,0:25679,0:177,0:568]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*)]>",ardac/cmip6_fwi/ingest_dmc.json,,
