collection,category,why,mdd_coll_id,set_type_id
cmip6_downscaled_pr_wms_crstephenson,personal,named after a user; likely a personal experiment,587,58
cmip6_downscaled_tasmax_complete_crstephenson,personal,named after a user; likely a personal experiment,534,59
conus_hydro_segments_crstephenson3,personal,named after a user; likely a personal experiment,1111,430
conus_hydro_segments_doy_mmm_maurer,personal,named after a user; likely a personal experiment,1149,453
conus_hydro_segments_doy_mmm_maurer_historical,personal,named after a user; likely a personal experiment,1153,457
conus_hydro_segments_doy_mmm_maurer_projected,personal,named after a user; likely a personal experiment,1155,459
conus_hydro_segments_jp,personal,named after a user; likely a personal experiment,1139,444
conus_hydro_segments_maurer,personal,named after a user; likely a personal experiment,1150,454
air_freezing_index_Fdays,shadow,sits at a live coverage id; petascope serves a different array,171,81
ak_hydro_segments_doy_climatology,shadow,sits at a live coverage id; petascope serves a different array,1235,532
cmip6_bui,shadow,sits at a live coverage id; petascope serves a different array,1259,556
cmip6_downscaled_pr_wms,shadow,sits at a live coverage id; petascope serves a different array,1021,58
cmip6_downscaled_tasmax_wms,shadow,sits at a live coverage id; petascope serves a different array,1099,59
cmip6_downscaled_tasmin_wms,shadow,sits at a live coverage id; petascope serves a different array,1100,59
cmip6_ffmc,shadow,sits at a live coverage id; petascope serves a different array,1263,559
cmip6_fwi,shadow,sits at a live coverage id; petascope serves a different array,565,381
conus_hydro_segments_jp_test,shadow,sits at a live coverage id; petascope serves a different array,1162,466
era5_4km_daily_rh2_max,shadow,sits at a live coverage id; petascope serves a different array,408,282
temperature_anomaly_anomalies,shadow,sits at a live coverage id; petascope serves a different array,296,59
temperature_anomaly_baselines,shadow,sits at a live coverage id; petascope serves a different array,301,167
cmip6_downscaled_pr_wms_2025_11_03_11_57_04_8211,superseded ingest,timestamped copy; the live coverage has a newer one,1098,59
cmip6_downscaled_pr_wms_2025_11_03_12_13_02_4211,superseded ingest,timestamped copy; the live coverage has a newer one,1101,59
cmip6_downscaled_pr_wms_2025_11_03_12_13_23_37,superseded ingest,timestamped copy; the live coverage has a newer one,1102,59
cmip6_downscaled_tasmax_wms_2025_11_03_12_15_52_6542,superseded ingest,timestamped copy; the live coverage has a newer one,1105,59
cmip6_downscaled_tasmax_wms_2025_11_03_12_22_58_1935,superseded ingest,timestamped copy; the live coverage has a newer one,1106,59
cmip6_downscaled_tasmax_wms_2025_11_03_12_29_56_1055,superseded ingest,timestamped copy; the live coverage has a newer one,1107,59
cmip6_downscaled_tasmax_wms_2025_11_03_12_57_29_3977,superseded ingest,timestamped copy; the live coverage has a newer one,1108,59
cmip6_downscaled_tasmax_wms_2025_11_03_13_00_46_4264,superseded ingest,timestamped copy; the live coverage has a newer one,1109,59
cmip6_downscaled_tasmax_wms_2025_11_03_13_02_14_8024,superseded ingest,timestamped copy; the live coverage has a newer one,1110,59
cmip6_downscaled_tasmax_wms_2025_11_03_13_42_40_4070,superseded ingest,timestamped copy; the live coverage has a newer one,1113,59
cmip6_fwi_2025_09_18_10_13_04_2755,superseded ingest,timestamped copy; the live coverage has a newer one,566,381
cmip6_fwi_2025_09_18_10_26_47_1079,superseded ingest,timestamped copy; the live coverage has a newer one,567,381
cmip6_fwi_2025_09_18_10_56_56_4428,superseded ingest,timestamped copy; the live coverage has a newer one,568,381
temperature_anomaly_anomalies_2025_04_15_18_57_28_4022,superseded ingest,timestamped copy; the live coverage has a newer one,297,59
temperature_anomaly_anomalies_2025_04_15_19_00_35_7060,superseded ingest,timestamped copy; the live coverage has a newer one,298,59
temperature_anomaly_anomalies_2025_04_15_19_09_25_4754,superseded ingest,timestamped copy; the live coverage has a newer one,299,59
temperature_anomaly_anomalies_2025_04_15_19_25_00_1352,superseded ingest,timestamped copy; the live coverage has a newer one,302,59
cmip6_downscaled_pr_wms_test,test/scratch,named as a test or scratch run,1089,59
cmip6_downscaled_tasmax_wms_test,test/scratch,named as a test or scratch run,1087,59
cmip6_downscaled_tasmin_wms_test,test/scratch,named as a test or scratch run,1088,59
cmip6_isi_scratch_description,test/scratch,named as a test or scratch run,983,416
