coverage_id,collection_checked,pointer_source,verdict,detail,coverage_extents,collection_extents,cell_type,shadow_collection,shadow_kind,shadow_extents,shadow_bytes,shadow_tiles,follow_up
conus_hydro_segments_jp_test_insitu,conus_hydro_segments_jp_test_insitu,petascopedb,matched,,"2,13,5,4,56460","2,13,5,4,56460","dh3 float, dh15 float, dl3 float, dl16 float, fh1 float, fl1 float, fl3 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, ra1 float, ra3 float, th1 float, tl1 float",,,,,,
conus_hydro_segments_stats,conus_hydro_segments_stats,petascopedb,matched,,"2,14,5,4,56460","2,14,5,4,56460","dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, ra1 float, ra3 float, ra8 float, spr_ord float, sum_ord float, th1 float, tl1 float",,,,,,
conus_hydro_segments_stats_combined,conus_hydro_segments_stats_combined,petascopedb,matched,,"3,2,14,5,4,56460","3,2,14,5,4,56460","dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, ra1 float, ra3 float, ra8 float, spr_ord float, sum_ord float, th1 float, tl1 float, ma99 float",,,,,,
conus_hydro_segments_stats_diff,conus_hydro_segments_stats_diff,petascopedb,matched,,"2,14,5,4,56460","2,14,5,4,56460","dh1 float, dh2 float, dh3 float, dh4 float, dh5 float, dh15 float, dl1 float, dl2 float, dl3 float, dl4 float, dl5 float, dl16 float, lf1 float, spr_dur3 float, spr_dur7 float, sum_dur3 float, sum_dur7 float, fh1 float, fh5 float, fh6 float, fh7 float, fl1 float, fl3 float, spr_freq float, sum_freq float, ma3 float, ma4 float, ma12 float, ma13 float, ma14 float, ma15 float, ma16 float, ma17 float, ma18 float, ma19 float, ma20 float, ma21 float, ma22 float, ma23 float, mh14 float, mh20 float, ml17 float, spr_mag float, sum_cv float, sum_mag float, ra1 float, ra3 float, ra8 float, spr_ord float, sum_ord float, th1 float, tl1 float",,,,,,
cp_test_gipl,cp_test_gipl,petascopedb,matched,,"100,3,2,1941,2471","100,3,2,1941,2471","magt05m_degC float, magt1m_degC float, magt2m_degC float, magt3m_degC float, magt4m_degC float, magt5m_degC float, magtsurface_degC float, permafrostbase_m float, permafrosttop_m float, talikthickness_m float",,,,,,
crrel_gipl_outputs_nc,crrel_gipl_outputs_nc,petascopedb,matched,,"100,3,2,1941,2471","100,3,2,1941,2471","magt05m_degC float, magt1m_degC float, magt2m_degC float, magt3m_degC float, magt4m_degC float, magt5m_degC float, magtsurface_degC float, permafrostbase_m float, permafrosttop_m float, talikthickness_m float",,,,,,
crrel_gipl_outputs_nc_regular_1_test,crrel_gipl_outputs_nc_regular_1_test,petascopedb,matched,,"100,3,2,2741,3882","100,3,2,2741,3882","magt05m_degC float, magt1m_degC float, magt2m_degC float, magt3m_degC float, magt4m_degC float, magt5m_degC float, magtsurface_degC float, permafrostbase_m float, permafrosttop_m float, talikthickness_m float",,,,,,
crrel_gipl_outputs_nc_regular_2_test,crrel_gipl_outputs_nc_regular_2_test,petascopedb,matched,,"100,3,2,2118,2588","100,3,2,2118,2588","magt05m_degC float, magt1m_degC float, magt2m_degC float, magt3m_degC float, magt4m_degC float, magt5m_degC float, magtsurface_degC float, permafrostbase_m float, permafrosttop_m float, talikthickness_m float",,,,,,
degree_days_below_zero_Fdays,degree_days_below_zero_Fdays,petascopedb,matched,,"10,3,150,224,317","10,3,150,224,317",long,,,,,,
design_freezing_index,design_freezing_index,petascopedb,matched,,"3,3,198,106","3,3,198,106",short,,,,,,
design_thawing_index,design_thawing_index,petascopedb,matched,,"3,3,198,106","3,3,198,106",short,,,,,,
dot_precip,dot_precip,petascopedb,matched,,"9,15,2,3,4110,7639","9,15,2,3,4110,7639","pf float, pf_upper float, pf_lower float",,,,,,
drought_indicators_30day,drought_indicators_30day,petascopedb,matched,,"1,211,511","1,211,511","tp float, pntp float, swe float, pnswe float, spi double, spei double, smd float",,,,,,
era5_4km_daily_rainnc_sum,era5_4km_daily_rainnc_sum,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_rainnc_sum_wcs,era5_4km_daily_rainnc_sum_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_rh2_max,era5_4km_daily_rh2_max_2025_08_12_08_45_23_3669,petascopedb,matched,,"23376,460,442","23376,460,442",float,era5_4km_daily_rh2_max,SHADOW stale (different shape from the live array),"21915,460,442",17823031200,4386,
era5_4km_daily_rh2_max_wcs,era5_4km_daily_rh2_max_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_rh2_mean,era5_4km_daily_rh2_mean,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_rh2_mean_wcs,era5_4km_daily_rh2_mean_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_rh2_min,era5_4km_daily_rh2_min,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_rh2_min_wcs,era5_4km_daily_rh2_min_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_seaice_max,era5_4km_daily_seaice_max,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_seaice_max_wcs,era5_4km_daily_seaice_max_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_t2_max,era5_4km_daily_t2_max,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_t2_max_wcs,era5_4km_daily_t2_max_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_t2_mean,era5_4km_daily_t2_mean,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_t2_mean_wcs,era5_4km_daily_t2_mean_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_t2_min,era5_4km_daily_t2_min,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_t2_min_wcs,era5_4km_daily_t2_min_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_wdir10_mean,era5_4km_daily_wdir10_mean,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_wdir10_mean_wcs,era5_4km_daily_wdir10_mean_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_wspd10_max,era5_4km_daily_wspd10_max,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_wspd10_max_wcs,era5_4km_daily_wspd10_max_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_wspd10_mean,era5_4km_daily_wspd10_mean,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_daily_wspd10_mean_wcs,era5_4km_daily_wspd10_mean_wcs,petascopedb,matched,,"23376,460,442","23376,460,442",float,,,,,,
era5_4km_elevation,era5_4km_elevation,petascopedb,matched,,"460,442","460,442",float,,,,,,
heating_degree_days_Fdays,heating_degree_days_Fdays,petascopedb,matched,,"10,3,150,224,317","10,3,150,224,317",long,,,,,,
hsia_arctic_production,hsia_arctic_production,petascopedb,matched,,"2112,570,573","2112,570,573",char,,,,,,
hydro_dh3_test,hydro_dh3_test,petascopedb,matched,,"2,13,5,4,109951","2,13,5,4,109951",double,,,,,,
hydrology,hydrology,petascopedb,matched,,"10,2,12,15,224,317","10,2,12,15,224,317","evap float, glacier_melt float, iwe float, pcp float, runoff float, sm1 float, sm2 float, sm3 float, snow_melt float, swe float, tmax float, tmin float",,,,,,
iem_ar5_2km_taspr_seasonal,iem_ar5_2km_taspr_seasonal,petascopedb,matched,,"9,4,3,3,2,1995,982","9,4,3,3,2,1995,982",float,,,,,,
iem_cru_2km_taspr_seasonal,iem_cru_2km_taspr_seasonal,petascopedb,matched,,"10,4,2,3218,1186","10,4,2,3218,1186",float,,,,,,
iem_cru_2km_taspr_seasonal_baseline_stats,iem_cru_2km_taspr_seasonal_baseline_stats,petascopedb,matched,,"4,2,8,1995,982","4,2,8,1995,982",float,,,,,,
jan_min_max_mean_temp,jan_min_max_mean_temp,petascopedb,matched,,"3,200,7,4,1849,999","3,200,7,4,1849,999",float,,,,,,
july_min_max_mean_temp,july_min_max_mean_temp,petascopedb,matched,,"3,200,7,4,1849,999","3,200,7,4,1849,999",float,,,,,,
mean_annual_dtr,mean_annual_dtr,petascopedb,matched,,"3,121,198,106","3,121,198,106",float,,,,,,
mean_annual_snowfall_mm,mean_annual_snowfall_mm,petascopedb,matched,,"6,4,19,4762,2557","6,4,19,4762,2557",float,,,,,,
ncar12km_indicators_era_summaries,ncar12km_indicators_era_summaries,petascopedb,matched,,"11,3,3,3,3,318,224","11,3,3,3,3,318,224",float,,,,,,
piak_collab,piak_collab,petascopedb,matched,,"30,3,5,3,1520,2288","30,3,5,3,1520,2288","mean double, delta_pct double, delta_abs double",,,,,,
tas_2km_historical,tas_2km_historical,petascopedb,matched,,"12,115,1186,3218","12,115,1186,3218","tas float, tasmax float, tasmin float",,,,,,
tas_2km_historical_wcs,tas_2km_historical_wcs,petascopedb,matched,,"12,115,1186,3218","12,115,1186,3218","tas float, tasmax float, tasmin float",,,,,,
tas_2km_projected,tas_2km_projected,petascopedb,matched,,"3,2,12,95,1186,3218","3,2,12,95,1186,3218","tas float, tasmax float, tasmin float",,,,,,
tas_2km_projected_wcs,tas_2km_projected_wcs,petascopedb,matched,,"3,2,12,95,1186,3218","3,2,12,95,1186,3218","tas float, tasmax float, tasmin float",,,,,,
temperature_anomaly_anomalies,temperature_anomaly_anomalies_2025_05_19_13_54_47_4707,petascopedb,matched,,"13,5,251,1440,158","13,5,251,1440,158",float,temperature_anomaly_anomalies,SHADOW stale (different shape from the live array),"1,1,1,1,1",4,1,
temperature_anomaly_baselines,temperature_anomaly_baselines_2025_05_19_13_54_21_674,petascopedb,matched,,"13,1440,158","13,1440,158",float,temperature_anomaly_baselines,SHADOW stale (different shape from the live array),"1,1,1",4,1,
wet_days_per_year,wet_days_per_year,petascopedb,matched,,"3,121,198,106","3,121,198,106",short,,,,,,
